symbol,FullName,Exchange,ISIN,Currency,Country
086.F,"CASTLE BIOSCIENCE DL-,001",Frankfurt (FWB),US14843C1053,EUR,Germany
087.F,"NEWRIVER REIT      LS-,01",Frankfurt (FWB),GB00BD7XPJ64,EUR,Germany
08D.F,"MIRUM PHARMAC.   DL-,0001",Frankfurt (FWB),US6047491013,EUR,Germany
08EA.F,MULTI BINTANG       RP 10,Frankfurt (FWB),ID1000132806,EUR,Germany
08F.F,"SURE VENTURES PLC LS -,01",Frankfurt (FWB),GB00BYWYZ460,EUR,Germany
08HH.F,SHANG.FOS.PHARM.GR.H YC 1,Frankfurt (FWB),CNE100001M79,EUR,Germany
08IA.F,"IDREAMSKY TE+H. DL-,0001",Frankfurt (FWB),KYG470811079,EUR,Germany
08M.F,"ADMIE IPTO HLDG   EO 2,12",Frankfurt (FWB),GRS518003009,EUR,Germany
08S.F,BANK SINAMARAS TBK PR 100,Frankfurt (FWB),ID1000117807,EUR,Germany
08T.F,TOURMALINE OIL CORP.,Frankfurt (FWB),CA89156V1067,EUR,Germany
08WA.F,SOLIS MINERALS LTD O.N.,Frankfurt (FWB),AU0000189029,EUR,Germany
08X.F,PONY AI INC.     SP.ADR/1,Frankfurt (FWB),US7329081084,EUR,Germany
08X0.F,PONY AI INC. A O.N.,Frankfurt (FWB),KYG7171B1068,EUR,Germany
096.F,"HUBSPOT INC.      DL-,001",Frankfurt (FWB),US4435731009,EUR,Germany
09B.F,"LASTMINUTE.COM NV  EO-,01",Frankfurt (FWB),NL0010733960,EUR,Germany
09D.F,BLUEBIRD MINING VENTURES,Frankfurt (FWB),VGG118701058,EUR,Germany
09N0.F,PRAIRIE PROVIDENT RES.NEW,Frankfurt (FWB),CA73965Q8882,EUR,Germany
09R0.F,"SKYE BIOSCIENCE DL -,001",Frankfurt (FWB),US83086J3095,EUR,Germany
0A1.F,ABM INVESTAMA TBK  RP 100,Frankfurt (FWB),ID1000121502,EUR,Germany
0A3.F,"NEPI ROCKCASTLE   EO -,01",Frankfurt (FWB),NL0015000RT3,EUR,Germany
0A7.F,PLANETEL SPA,Frankfurt (FWB),IT0005430951,EUR,Germany
0AD.F,ANFIELD RES INC.,Frankfurt (FWB),CA03464C2058,EUR,Germany
0AF.F,ODINWELL AB,Frankfurt (FWB),SE0015809967,EUR,Germany
