symbol,FullName,Exchange,ISIN,Currency,Country
50HO.L,SOUTH EAST WATER,LSE,GB0005882492,GBP,United Kingdom
50IF.L,SCOTTISH MORTGAGE INVESTMENT TST,LSE,GB0007837650,GBP,United Kingdom
50XD.L,MAGNIT PJSC,LSE,US55953Q1031,GBP,United Kingdom
51GL.L,C.G.I.S. GROUP,LSE,GB0001547701,GBP,United Kingdom
51HO.L,SOUTH EAST WATER,LSE,GB0005884654,GBP,United Kingdom
51IF.L,SCOTTISH MORTGAGE INVESTMENT TST,LSE,GB0007837767,GBP,United Kingdom
52HO.L,SOUTH EAST WATER,LSE,GB0005886147,GBP,United Kingdom
52HX.L,GUINNESS PARTNERSHIP(THE)LD,LSE,GB0006467723,GBP,United Kingdom
53GI.L,AFI DEVELOPMENT PLC,LSE,US00106J1016,GBP,United Kingdom
53GW.L,FULLER SMITH & TURNER,LSE,GB0003551420,GBP,United Kingdom
53HO.L,SOUTH EAST WATER,LSE,GB0005887889,GBP,United Kingdom
53IM.L,TEMPLE BAR INVESTMENT TRUST,LSE,GB0008826405,GBP,United Kingdom
54GW.L,FULLER SMITH & TURNER,LSE,GB0003551537,GBP,United Kingdom
54UD.L,LSR GROUP PJSC,LSE,US50218G1076,GBP,United Kingdom
55BC.L,COMMERCIAL BANK,LSE,US2026091031,GBP,United Kingdom
55IP.L,SOUTH EAST WATER,LSE,GB0009518852,GBP,United Kingdom
55KJ.L,NATIONAL EXHIBITION CENTRE(DEVELOP),LSE,GB0006285984,GBP,United Kingdom
56HO.L,SOUTH EAST WATER,LSE,GB0005895437,GBP,United Kingdom
56UB.L,KUMHO TIRE CO INC,LSE,US50125M1062,GBP,United Kingdom
59KD.L,EDINBURGH INVESTMENT TRUST,LSE,GB0000401033,GBP,United Kingdom
59PQ.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,XS0121856859,GBP,United Kingdom
60HG.L,L.G.S.INVESTMENTS,LSE,GB0004996970,GBP,United Kingdom
61HE.L,MAIL.RU GROUP LTD,LSE,US5603171092,GBP,United Kingdom
61IO.L,JPMORGAN GLOBAL GWTH & INC PLC,LSE,GB0009143495,GBP,United Kingdom
62IE.L,ST LAWRENCE & OTTAWA RAILWAY CO,LSE,GB0007691073,GBP,United Kingdom
62JT.L,WITAN INVESTMENT TRUST,LSE,GB0009743765,GBP,United Kingdom
62QE.L,GROSVENOR UK FINANCE,LSE,GB0030308554,GBP,United Kingdom
63PE.L,EASTPHARMA LTD,LSE,US27778Q1058,GBP,United Kingdom
64HB.L,HOUSING FINANCE CORP,LSE,GB0004398193,GBP,United Kingdom
64JS.L,PEEL SOUTH EAST LTD,LSE,GB0005320196,GBP,United Kingdom
65HB.L,HOUSING FINANCE CORP,LSE,GB0004398318,GBP,United Kingdom
66HB.L,HOUSING FINANCE CORP,LSE,GB0004398425,GBP,United Kingdom
